Status v2,File update Date,Customer Code,Account Name,Renewal Year,Renewal Date,ACV ($CAD),CY Contract Stage,CZ Churn Risk,Region,Cloud/On-Prem,Product Detail,Entity Code,Country,Pod,CSM
Upcoming,31-Jul-25,C-000693,"All States Materials Group, Inc.",2027,6/5/2027,79308,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Christine Llanora
Upcoming,31-Jul-25,C-000794,"Ronald Blue Trust, Inc.",2027,7/2/2027,118484,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Gavin Ramchand
Upcoming,31-Jul-25,C-001036,Spokane Regional Health District,2027,1/19/2027,93710,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Eric Li
Upcoming,31-Jul-25,C-001049,Wilson Construction Co.,2027,7/1/2027,78841,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Gavin Ramchand
Upcoming,31-Jul-25,C-001057,Crossland Construction,2027,2/1/2027,45416,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Zunair Munami
Upcoming,31-Jul-25,C-001121,"GNAP, LLC dba SurfacePrep",2027,8/1/2027,70570,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Rugaia Saadabi
Upcoming,31-Jul-25,C-001133,AC Transit,2027,3/1/2027,262306,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Matthew Koronkiewicz
Upcoming,31-Jul-25,C-001145,Presbyterian SeniorCare,2027,8/21/2027,82758,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Gavin Ramchand
Upcoming,31-Jul-25,C-001171,"American Society of Health-System Pharmacists, Inc.",2027,9/20/2027,87038,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Eric Li
Upcoming,31-Jul-25,C-001224,HBM Holdings,2027,3/1/2027,7753,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Eric Li
Upcoming,31-Jul-25,C-001276,Alterman Inc.,2027,12/31/2027,104547,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Eric Li
Upcoming,31-Jul-25,C-001286,Texas Hospital Association,2027,5/3/2027,45222,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Eric Li
Upcoming,31-Jul-25,C-001298,The Avedis Zildjian Company Inc.,2027,8/15/2027,100822,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Phil Maciaszek
Upcoming,31-Jul-25,C-001346,Commonwealth Electric Company of the Midwest,2027,8/31/2027,145146,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Eric Li
Upcoming,31-Jul-25,C-001353,"Benchmade Knife Co., Inc.",2027,11/15/2027,118401,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Gavin Ramchand
Upcoming,31-Jul-25,C-001362,Villara,2027,4/1/2027,48468,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Zunair Munami
Upcoming,31-Jul-25,C-001402,E. D. Bullard Company,2027,2/19/2027,108979,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Gavin Ramchand
Upcoming,31-Jul-25,C-001474,"Fragomen, Del Rey, Bernsen & Loewy LLP",2027,2/21/2027,226827,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Matthew Koronkiewicz
Upcoming,31-Jul-25,C-001485,Mission Health Communities,2027,5/15/2027,219051,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Maggie Herbst
Upcoming,31-Jul-25,C-001495,"Blattner Energy, Inc.",2027,7/1/2027,194368,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Matthew Koronkiewicz
Upcoming,31-Jul-25,C-001507,Alignment Healthcare,2027,7/15/2027,99177,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Maggie Herbst
Upcoming,31-Jul-25,C-001522,Sellen Construction Co.Inc.,2027,7/15/2027,101126,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Gavin Ramchand
Upcoming,31-Jul-25,C-001568,Key Tronic Corporation,2027,1/1/2027,171056,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Zane Robinson
Upcoming,31-Jul-25,C-001592,Radius Aerospace Inc.,2027,10/21/2027,88356,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Eric Li
Upcoming,31-Jul-25,C-001604,"SteelSummit Holdings, Inc.",2027,3/2/2027,78920,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Eric Li
Upcoming,31-Jul-25,C-001641,"UMC, Inc.",2027,12/31/2027,50849,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Eric Li
Upcoming,31-Jul-25,C-001642,Baker Roofing Company,2027,1/6/2027,123544,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Eric Li
Upcoming,31-Jul-25,C-001644,"Cerris, Inc.",2027,12/31/2027,143937,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Maggie Herbst
Upcoming,31-Jul-25,C-001653,Cache Valley Electric Company,2027,1/27/2027,195857,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Zane Robinson
Upcoming,31-Jul-25,C-001695,"The Gas Company LLC, dBA Hawaii Gas",2027,4/6/2027,90666,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Eric Li
Upcoming,31-Jul-25,C-001712,IB Abel Inc,2027,5/28/2027,68372,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Gavin Ramchand
Upcoming,31-Jul-25,C-001719,"Joseph J. Albanese, Inc.",2027,6/12/2027,46709,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Eric Li
Upcoming,31-Jul-25,C-001722,Batson-Cook Construction,2027,2/1/2027,138316,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Gavin Ramchand
Upcoming,31-Jul-25,C-001735,Aluminum Trailer Company,2027,7/1/2027,85436,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Eric Li
Upcoming,31-Jul-25,C-001737,"Haselden Construction, LLC",2027,7/1/2027,133824,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Gavin Ramchand
Upcoming,31-Jul-25,C-001758,"Kajima Building & Design Group, Inc.",2027,2/1/2027,104319,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Gavin Ramchand
Upcoming,31-Jul-25,C-001774,Banks Construction Company,2027,9/21/2027,61259,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Zunair Munami
Upcoming,31-Jul-25,C-001777,Xl Construction Corporation,2027,9/17/2027,117792,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Matthew Koronkiewicz
Upcoming,31-Jul-25,C-001778,"Al. Neyer, LLC.",2027,3/1/2027,54577,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Kushal Sthapak
Upcoming,31-Jul-25,C-001787,Consolidated Construction Co.,2027,9/30/2027,64958,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Eric Li
Upcoming,31-Jul-25,C-001808,Kajima U.S.A. Inc.,2027,12/31/2027,133807,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Gavin Ramchand
Upcoming,31-Jul-25,C-001853,IRG Realty Advisors,2027,1/11/2027,81823,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Gavin Ramchand
Upcoming,31-Jul-25,C-001867,Continuing Life LLC.,2027,1/15/2027,219028,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Maggie Herbst
Upcoming,31-Jul-25,C-001891,"Engelberth Construction, Inc.",2027,2/22/2027,20200,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Kushal Sthapak
Upcoming,31-Jul-25,C-001963,Strata Solar,2027,6/30/2027,138506,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Gavin Ramchand
Upcoming,31-Jul-25,C-001971,"Tellepsen Builders, L.P.",2027,6/30/2027,97524,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Gavin Ramchand
Upcoming,31-Jul-25,C-001981,"Lumin8 Transportation Technologies, LLC",2027,10/1/2027,92138,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Gavin Ramchand
Upcoming,31-Jul-25,C-002005,Liberty Dental Plan,2027,9/16/2027,208375,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Maggie Herbst
Upcoming,31-Jul-25,C-002063,JGB Enterprises Inc.,2027,9/27/2027,97429,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Eric Li
Upcoming,31-Jul-25,C-002068,Western Allied Mechanical,2027,10/1/2027,102043,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Eric Li
Upcoming,31-Jul-25,C-002074,Lincoln Premium Poultry,2027,10/1/2027,244680,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Sid Bhardwaj
Upcoming,31-Jul-25,C-002209,PirTano Construction,2027,12/13/2027,48797,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Sobhan Kashani
Upcoming,31-Jul-25,C-002242,Absher Construction Co,2027,3/1/2027,95394,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Gavin Ramchand
Upcoming,31-Jul-25,C-002289,PC Construction Company,2027,3/1/2027,104550,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Eric Li
Upcoming,31-Jul-25,C-002300,Kiely Family of Companies,2027,3/21/2027,99092,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Gavin Ramchand
Upcoming,31-Jul-25,C-002314,Dominican University of California,2027,3/31/2027,112368,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Eric Li
Upcoming,31-Jul-25,C-002344,The Cianbro Companies,2027,6/1/2027,110106,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Gavin Ramchand
Upcoming,31-Jul-25,C-002354,Opus Solutions LLC dba Opus Agency,2027,7/16/2027,99020,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Eric Li
Upcoming,31-Jul-25,C-002393,Erie Construction Midwest  LLC.,2027,8/1/2027,84477,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Eric Li
Upcoming,31-Jul-25,C-002417,Intuitive Health,2027,10/10/2027,88525,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Hala Issa
Upcoming,31-Jul-25,C-002421,Ozark Electric Cooperative,2027,11/21/2027,103707,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Eric Li
Upcoming,31-Jul-25,C-002965,Zygo Corporation,2027,10/17/2027,87906,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Eric Li
Upcoming,31-Jul-25,C-003000,"Sanoh America, Inc",2027,11/14/2027,101096,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Eric Li
Upcoming,31-Jul-25,C-003061,"Carton Craft Supply, Inc.",2027,3/1/2027,51523,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Zunair Munami
Upcoming,31-Jul-25,C-003064,UMC Inc.,2027,6/1/2027,70461,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Gavin Ramchand
Upcoming,31-Jul-25,C-003088,Greenlaw Partners LLC,2027,1/3/2027,60306,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Christine Llanora
Upcoming,31-Jul-25,C-003089,American Physical Therapy Association,2027,3/31/2027,87863,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Gavin Ramchand
Upcoming,31-Jul-25,C-003167,"Roofing Buyer, LLC",2027,3/15/2027,114065,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Gavin Ramchand
Upcoming,31-Jul-25,C-003177,"Gresco Utility Supply, Inc.",2027,4/17/2027,90116,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Gavin Ramchand
Upcoming,31-Jul-25,C-003182,"Construction Resources Management, Inc.",2027,5/1/2027,99152,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Gavin Ramchand
Upcoming,31-Jul-25,C-003187,"Sumitomo Electric Wiring Systems, Inc.",2027,5/15/2027,386976,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Maggie Herbst
Upcoming,31-Jul-25,C-003193,"Schnabel, Inc.",2027,4/10/2027,0,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Gavin Ramchand
Upcoming,31-Jul-25,C-003196,Laboratoires Expanscience USA,2027,5/1/2027,38527,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Kushal Sthapak
Upcoming,31-Jul-25,C-003202,CTC Global Corporation,2027,5/1/2027,79308,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Eric Li
Upcoming,31-Jul-25,C-003204,"Progress Residential, LLC",2027,5/15/2027,181585,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Gavin Ramchand
Upcoming,31-Jul-25,C-003209,"Hunt, Guillot & Associates, L.L.C.",2027,6/15/2027,67768,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Gavin Ramchand
Upcoming,31-Jul-25,C-003212,Chesapeake Bank,2027,5/29/2027,111219,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Gavin Ramchand
Upcoming,31-Jul-25,C-003213,ATS Acquisitions Company LLC,2027,5/17/2027,211533,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Maggie Herbst
Upcoming,31-Jul-25,C-003215,"Cherry Painting Company, Inc.",2027,6/1/2027,161377,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Gavin Ramchand
Upcoming,31-Jul-25,C-003222,"Percheron, LLC",2027,6/1/2027,2968,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Sobhan Kashani
Upcoming,31-Jul-25,C-003246,"S&K Distribution LLC, DBA New Castle Building Products",2027,7/31/2027,102069,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Gavin Ramchand
Upcoming,31-Jul-25,C-003248,Blach Construction Company,2027,7/6/2027,39321,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Kushal Sthapak
Upcoming,31-Jul-25,C-003251,Adams Telephone Co-Operative,2027,4/10/2027,72732,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Eric Li
Upcoming,31-Jul-25,C-003257,"Docomo Pacific, Inc.",2027,7/6/2027,66467,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Kushal Sthapak
Upcoming,31-Jul-25,C-003366,"TLC Company, Inc.",2027,8/28/2027,54457,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Sobhan Kashani
Upcoming,31-Jul-25,C-003369,"MedLink Georgia, Inc.",2027,9/4/2027,26061,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Gavin Ramchand
Upcoming,31-Jul-25,C-003372,"SphereNY, LLC.",2027,9/29/2027,128057,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Eric Li
Upcoming,31-Jul-25,C-003376,Greater Minnesota Housing Fund,2027,11/6/2027,83684,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Gavin Ramchand
Upcoming,31-Jul-25,C-003378,Vellutini Corporation,2027,10/23/2027,112026,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Eric Li
Upcoming,31-Jul-25,C-003405,Hotchkiss Insurance Agency LLC,2027,11/13/2027,39852,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Kushal Sthapak
Upcoming,31-Jul-25,C-003414,"Agave Holdings, LLC",2027,12/11/2027,112945,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Gavin Ramchand
Upcoming,31-Jul-25,C-003594,Lakeland Industries Inc.,2027,1/22/2027,89036,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Gavin Ramchand
Upcoming,31-Jul-25,C-003611,"Ametek, Inc.",2027,2/1/2027,48715,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Zunair Munami
Upcoming,31-Jul-25,C-003640,ZFS Solutions LLC,2027,2/5/2027,69859,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Gavin Ramchand
Upcoming,31-Jul-25,C-003648,"Meridian Bioscience, Inc.",2027,2/19/2027,246288,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Maggie Herbst
Upcoming,31-Jul-25,C-003649,AquaPhoenix Scientific Inc.,2027,2/19/2027,55024,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Kushal Sthapak
Upcoming,31-Jul-25,C-003650,Manhattan Construction Company,2027,3/1/2027,96157,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Phil Maciaszek
Upcoming,31-Jul-25,C-003660,Washington and Jane Smith Home dba Smith Senior Living,2027,4/30/2027,76228,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Eric Li
Upcoming,31-Jul-25,C-003678,"Fairfax Radiology Centers, LLC",2027,4/8/2027,55437,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Sobhan Kashani
Upcoming,31-Jul-25,C-003685,Waldinger Corporation,2027,4/11/2027,476268,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Maggie Herbst
Upcoming,31-Jul-25,C-003693,Atlas World Group Inc.,2027,5/13/2027,63391,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Kushal Sthapak
Upcoming,31-Jul-25,C-003697,Wood Resources LLC,2027,5/6/2027,57926,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Zunair Munami
Upcoming,31-Jul-25,C-003711,"Hamister Group, LLC",2027,9/17/2027,46824,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Sobhan Kashani
Upcoming,31-Jul-25,C-003760,"Control Installations of Iowa, Inc d/b/a Basepoint Building Automations",2027,9/1/2027,68994,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Eric Li
Upcoming,31-Jul-25,C-003802,Milo's Tea Company,2027,4/14/2027,79560,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,Pod Phix It,Kushal Sthapak
Upcoming,31-Jul-25,C-000001,American Academy of Orthopaedic Surgeons,2027,11/2/2027,68041,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,non CSP,Zunair Munami
Upcoming,31-Jul-25,C-000013,Jacksonville Regional Chamber of Commerce,2027,9/30/2027,18063,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,non CSP,Kushal Sthapak
Upcoming,31-Jul-25,C-000022,"Bridgestone Retail Operations, LLC",2027,3/14/2027,148354,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,non CSP,Phil Maciaszek
Upcoming,31-Jul-25,C-000029,"Only the Best, Inc. dba Crazy Shirts",2027,4/1/2027,36999,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,non CSP,Kushal Sthapak
Upcoming,31-Jul-25,C-000054,"Restaurant Technologies, Inc.",2027,4/1/2027,92294,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,non CSP,Sobhan Kashani
Upcoming,31-Jul-25,C-000060,Agero Administrative Service Corp.,2027,2/15/2027,29063,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,non CSP,Sobhan Kashani
Upcoming,31-Jul-25,C-000072,ETC Inc. (Electronic Theatre Controls),2027,10/1/2027,90176,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,non CSP,Rugaia Saadabi
Upcoming,31-Jul-25,C-000087,Utah State University,2027,1/3/2027,45103,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,non CSP,Sobhan Kashani
Upcoming,31-Jul-25,C-000094,Orthopaedics Northeast P.C.,2027,9/23/2027,23483,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,non CSP,Kushal Sthapak
Upcoming,31-Jul-25,C-000115,The Iowa Clinic,2027,3/15/2027,44730,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,non CSP,Christine Llanora
Upcoming,31-Jul-25,C-000145,"Community Action Project Of Tulsa County, Inc. (CAPTC)",2027,1/23/2027,68668,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,non CSP,Sobhan Kashani
Upcoming,31-Jul-25,C-000161,Edina Realty Inc.,2027,2/15/2027,56029,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,non CSP,Christine Llanora
Upcoming,31-Jul-25,C-000190,The Endocrine Society,2027,1/31/2027,69189,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,non CSP,Christine Llanora
Upcoming,31-Jul-25,C-000208,Marnell Companies,2027,10/1/2027,24444,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,non CSP,Zunair Munami
Upcoming,31-Jul-25,C-000304,Per Mar Security and Research Corporation,2027,4/24/2027,59968,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,non CSP,Zunair Munami
Upcoming,31-Jul-25,C-000321,"Sam Houston Electric Cooperative, Inc.",2027,5/1/2027,81871,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,non CSP,Zunair Munami
Upcoming,31-Jul-25,C-000344,"Minnieland Private Day School, Inc",2027,9/12/2027,42234,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,non CSP,Zunair Munami
Upcoming,31-Jul-25,C-000359,MidPen Housing Corporation,2027,2/26/2027,93160,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,non CSP,Christine Llanora
Upcoming,31-Jul-25,C-000364,Hoya Optical Labs of America Inc.,2027,5/1/2027,75253,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,non CSP,Sobhan Kashani
Upcoming,31-Jul-25,C-000369,Educational Media Foundation,2027,11/1/2027,60230,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,non CSP,Zunair Munami
Upcoming,31-Jul-25,C-000377,American Library Association,2027,11/15/2027,169941,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,non CSP,Phil Maciaszek
Upcoming,31-Jul-25,C-000407,Blossman Gas  Inc.,2027,10/17/2027,84158,Renewal Year,Low Risk,North America,Cloud,FP&A,E-100,United States,non CSP,Zunair Munami
